FID,beginn,ende,gr_welle,laenge_m,planungsst,seit,status,vpr_kmh,shape
rad_gruene_welle_line.1,Luisenstr.,Amalienstr.,Schellingstr.,795,0,14.03.2017,2,20,"LINESTRING (691744.61180084 5336151.438697959, 691697.663100839 5336169.032697963, 691636.8629008376 5336192.253497965, 691586.3707008365 5336211.062197969, 691514.922800835 5336239.326397973, 691443.3738008334 5336266.821397978, 691384.9420008322 5336289.673897983, 691365.6717008317 5336297.085097984, 691344.6915008313 5336305.136397984, 691312.2285008305 5336317.950897987, 691284.3474008301 5336328.446097988, 691191.4278008279 5336363.829597994, 690998.5005008238 5336438.756998006)"
rad_gruene_welle_line.2,Lindwurmstr.,Baldeplatz,Kapuziner Str.,1860,0,29.08.2019,2,20,"LINESTRING (691055.0005008257 5333174.127898008, 691035.2558008254 5333186.14619801, 691017.9692008249 5333196.325898011, 691002.7515008246 5333205.103398013, 690993.2135008243 5333210.485498012, 690908.2014008226 5333249.708798018, 690828.8264008209 5333284.704098023, 690812.8778008204 5333292.6393980235, 690799.5706008202 5333301.281498024, 690786.9254008199 5333311.337398024, 690774.68720082 5333318.171798026, 690764.4616008196 5333323.218798026, 690635.7445008167 5333380.967098034, 690588.6322008157 5333401.045998039, 690561.7110008152 5333411.155198039, 690481.5483008134 5333440.278898045, 690438.8087008125 5333457.813998046, 690407.042500812 5333471.197698048, 690401.7777008117 5333473.418398048, 690396.1258008117 5333475.99299805, 690389.4502008115 5333481.201998049, 690363.0587008109 5333499.564298052, 690340.9281008105 5333527.509598053, 690336.8118008103 5333532.8530980535, 690297.6926008095 5333583.613498056, 690244.7850008083 5333650.371098059, 690197.6728008074 5333708.910798061, 690182.855300807 5333727.031698063)"
rad_gruene_welle_line.3,Dachauer Str.,Barerstr.,Karlstr.,675,0,12.02.2021,2,22,"LINESTRING (691015.2460008244 5335349.443898007, 690823.3548008204 5335424.74499802, 690627.0087008161 5335503.711898033, 690438.3518008121 5335577.527398044, 690388.364300811 5335597.504498047)"
rad_gruene_welle_line.4,Dachauer Str.,Türkenstr.,Gabelsberger Str.,1203,0,13.03.2023,2,21,"LINESTRING (690272.9947008085 5336165.2642980525, 690377.1239008107 5336136.7930980455, 690622.9421008159 5336042.213098029, 690815.6623008199 5335971.876198018, 691010.4061008241 5335897.208398007, 691201.0077008283 5335821.581197994, 691405.3558008326 5335746.70639798)"
rad_gruene_welle_line.5,Arcisstr.,Amalienstr.,Adalbertstr.,595,0,18.10.2019,2,18,"LINESTRING (691845.5134008422 5336403.836697952, 691759.7589008403 5336438.407797956, 691689.2031008389 5336466.569697962, 691621.2531008372 5336494.683697966, 691584.7958008364 5336507.870397969, 691563.3735008361 5336515.973697971, 691518.9696008349 5336533.330997974, 691485.9556008342 5336546.182197974, 691459.6407008339 5336556.215397976, 691414.4348008329 5336574.74459798, 691383.028200832 5336587.086297981, 691365.9837008317 5336592.962597982, 691352.3756008314 5336597.051697983, 691320.1776008309 5336609.551397987, 691293.2771008301 5336620.227697986)"
